year,title,romanised_title,aka,publishers,year_release,region,platform,rating,consumer_advice,more_info
2018,SONIC MANIA PLUS,SONIC MANIA PLUS,na,SEGA GAMES,2018,ASIA,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,MONSTER ENERGY SUPERCROSS - THE OFFICIAL VIDEOGAME,MONSTER ENERGY SUPERCROSS - THE OFFICIAL VIDEOGAME,na,MILESTONE,2018,EURO,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,SHAQ-FU: A LEGEND REBORN,SHAQ FU: A LEGEND REBORN,na,WIRED PRODUCTIONS,2018,EURO,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,RUNNER3,RUNNER3,na,NICALIS,2018,US,Nintendo Switch,General,na,na
2018,TEMPEST 4000,TEMPEST 4000,na,NIGHTHAWK INTERACTIVE,2018,US,"Sony Playstation 4,Xbox One",General,na,na
2018,MOTOGP 18,MOTOGP 18,na,MILESTONE,2018,EURO,"Sony Playstation 4,Xbox One",General,na,na
2018,SCRIBBLENAUTS MEGA PACK,SCRIBBLENAUTS MEGA PACK,na,WARNER BROS. INTERACTIVE ENTERTAINMENT,2018,ASIA,"Nintendo Switch,Sony Playstation 4,Xbox One,Xbox One X",General,na,na
2018,USOTSUKI HIME TO MOUMOKU OUJI,THE LIAR PRINCESS AND THE BLIND PRINCE,na,SEGA GAMES,2018,"ASIA,US","Nintendo Switch,Sony Playstation 4",General,na,na
2018,THE BANNER SAGA TRILOGY,THE BANNER SAGA TRILOGY,THE BANNER SAGA TRILOGY BONUS EDITION,505 GAMES,2018,US,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,JURASSIC WORLD EVOLUTION,JURASSIC WORLD EVOLUTION,na,FRONTIER DEVELOPMENTS PLC,2018,EURO,"Sony Playstation 4,Xbox One",Age Advisory,na,"“Jurassic World Evolution” is a simulation game where the player manages a dinosaur park on an archipelago. The objective of the game is to build the best dinosaur park and expand across the islands of the archipelago. 

This game is rated Age Advisory (Suitable for 16 & Above).

The player manages the park by building various structures crucial to the successful running of the park, such as research facilities, enclosures and visitor centres. The player can then send teams across the world to look for fossils to extract the necessary DNA to breed more dinosaurs. Breeding new dinosaurs will increase the rate of visitors, which will in turn bring in more income to the park. The dinosaurs’ needs for food and water have to be met to keep them healthy. When the dinosaur’s needs are not properly met, they may run amok and break out of their enclosures. Similarly, when the park is not well maintained, the enclosures may break down allowing the dinosaurs to run loose.

The player may encounter scenes depicting escaped dinosaurs attacking terrified park visitors. Smaller dinosaurs would pounce on and gnaw at victims, while a larger dinosaur would grab screaming victims in its jaws and flail them about wildly before eventually swallowing them whole. There are no depictions of blood or gore in these scenes. Under the Age Advisory guidelines, “Realistic but not excessively graphic violence with depiction of blood may be included in gameplay.”"
2018,DIVINITY: ORIGINAL SIN II,DIVINITY: ORIGINAL SIN II,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2018,ASIA,Sony Playstation 4,Age Advisory,na,"“Divinity: Original Sin II” is a roleplaying game set in the fantasy world of Rivellon. The player takes on the role of a character who is being hunted down for his magical abilities. The protagonist soon grows in power and discovers that he is the key to fighting the forces of darkness. 

This game is rated Age Advisory (Suitable for 16 & Above).

Played from a top-down perspective, the player controls the protagonist to explore the world and interact with various characters to uncover the storyline. Some of these characters may join the protagonist’s party. Through the journey, the protagonist fights various enemies such as humans, orcs, insects and demons. During combat, the characters take turns to either move or carry out attacks which can include sword slashing or magical attacks. These attacks can result in blood splatters which stain the characters and environment; or special effects such as a fire attack charring a character. The guidelines for Age Advisory permit “realistic but not excessively graphic violence with depiction of blood which may be included in gameplay.”

As the story progresses, the protagonist has the opportunity to engage the services of prostitutes. The protagonist pays the innkeeper and enters a room where he can interact with a prostitute. The interaction is depicted solely through text options, while the two characters lie in bed. When the encounter is complete, the screen fades. The protagonist can also choose to engage in intimacy with one of his party members, where the sexual encounter is similarly described through text, with no visual depictions. The Age Advisory guidelines allow “portrayal of implied sexual activity.”"
2018,DEVIL MAY CRY 5,DEVIL MAY CRY 5,na,CAPCOM,2019,ASIA,"PC,Sony Playstation 4,Sony Playstation 5,Xbox One,Xbox Series X/S",Mature 18,VIOLENCE AND SOME NUDITY,"“Devil May Cry 5” is a hack-and-slash action game revolving around three demon slayers, Dante, Nero and V. The trio are overwhelmed by the latest demon invasion and must find a way to fight back against the demons. 

The game is classified M18 for violence and some nudity. 

Played from a third person perspective, the player controls one of the three protagonists and fights through masses of demons to reach a boss demon in each story chapter. This boss demon is typically stronger and must be defeated for the player to progress to the next chapter. The protagonists use various weapons such as swords, canes, guns and a metallic arm to inflict damage onto enemies.

Blood splatters occur frequently when enemies are struck and stain the surrounding surfaces briefly. Defeated demons will break apart into fragments and fade away. There are some instances of strong violence in the cinematics, such as a character having his arm pulled off; a female demon’s head being crushed; and creatures being disembowelled. These are within the guidelines for M18 which allow “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent.”

There are also some depictions of nudity in the game, but no explicit details are shown. One of the demons has an upper body consisting of three topless women, and some of the game cinematics depict nude female characters. The M18 guidelines allow “depiction of topless nudity or occasional full frontal nudity, if not exploitative.”

The player may hear instances of coarse language such as the expletive “f**k” in some scenes."
2018,LITTLE DRAGONS CAFÉ,LITTLE DRAGONS CAFE,???????????,SEGA / AKSYS GAMES,2018,"ASIA,US","Nintendo Switch,Sony Playstation 4",General,na,na
2018,???? DISGAEA REFINE,DISGAEA REFINE,na,SEGA GAMES,2018,ASIA,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,PAST CURE,PAST CURE,na,PHANTOM 8 STUDIO,2018,EURO,"Sony Playstation 4,Xbox One",Age Advisory,na,"‘Past Cure’ is an action game that centres on Ian, an elite soldier endowed with supernatural abilities such as astral projection, telekinesis and time manipulation, as a result of secret experiments performed on him while imprisoned. Ian seeks revenge on those responsible for his transformation, which is causing him to gradually lose his sanity and his grip on reality.

The game is rated Age Advisory (Suitable for 16 & Above).

From a third person perspective, the player will control the protagonist to explore various locations, interact with others, undertake missions and overcome enemies to progress the storyline. The player can take two approaches to completing missions – stealth (avoid enemies or kill them without being detected) or combat (killing enemies in open confrontation). Using firearms such as pistols and rifles, melee attacks and stealth executions, Ian will face off against a variety of human enemies such as cartel members, soldiers, scientists, and supernatural enemies in the form of mannequin-looking humanoids. 

There are visible blood effects such as blood splattering when characters are attacked, with blood pooling beneath corpses. Blood stains and bullet marks can also appear on characters. Stealth attacks depict the protagonist sneaking up on enemies to slit their throats or to stab them in the neck, causing blood spurts. Some story scenes depict violence – a character’s head being forcefully pushed down towards two spikes on a table; a corpse with gouged eyes; characters being shot in the head; a man being stabbed in the abdomen. These depictions fall within the Age Advisory guidelines for violence, which state that “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay”.

The dialogue includes some use of the expletive “f**k” and its variations. This would be more appropriate under the Age Advisory rating."
2018,UNDER NIGHT IN BIRTH EXE LATE[ST],UNDER NIGHT IN BIRTH EXE: LATE[ST],na,ARC SYSTEM WORKS,2018,ASIA,Sony Playstation 4,General,na,na
2018,EXTINCTION,EXTINCTION,na,MODUS,2018,US,"PC,Sony Playstation 4,Xbox One X",Mature 18,VIOLENCE AND GORE,"‘Extinction’ is an action role-playing game where the player takes on the role of Avil, a sentinel who must save humanity from the threat of monstrous ogres and their minions.

The game is rated M18 for violence and gore.

Played from a third-person perspective, the player character traverses across medieval environments such as villages and cities to fend off waves of giant ogres and minions that are causing destruction to the place. The player character uses a sword to perform combo attacks on the enemies, or launch a charged-up attack to destroy an ogre’s armour pieces.

During game play, the player character may use a charged-up attack to sever giant ogres’ limbs. This causes blood to pour from the severed wound. The severed limb is seen briefly on the ground before fading away. Details such as bone and muscle are seen on the inflicted wound. The player character must decapitate an ogre to defeat the monster. Blood splattering also occurs when an enemy or the player character is struck. Blood stains the ground and walls before disappearing. Similar depictions of violence are seen during the game’s cutscenes. The M18 guidelines permit “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent”."
2018,SHIN MEGAMI TENSEI: STRANGE JOURNEY REDUX,SHIN MEGAMI TENSEI: STRANGE JOURNEY REDUX,na,ATLUS,2018,US,Nintendo 3DS,Age Advisory,na,"‘Shin Megami Tensei: Strange Journey Redux’ is a roleplaying game where the player takes on the role of an unnamed protagonist who is tasked to investigate the Schwarzwelt, a spatial distortion that appears in Antarctica and threatens to engulf the world.

The game is rated Age Advisory (Suitable for 16 & Above).

Played from a first-person perspective, the player character explores dungeons to uncover the mystery surrounding the Schwarzwelt. During exploration of dungeons, players will encounter demons, which may be defeated or recruited as party members. Combat is carried out in turns, where an action is chosen by the player for each character in the party at the start of each turn. Damage inflicted on a character is indicated by a number that appears on top of their profile picture.

There are some cutscenes that contain blood effects. For instance, in one cutscene, blood splatters across the screen to imply a victim’s untimely death. Human soldiers who are killed are seen lying face-down on the floor in a pool of blood. In addition, an ally character is seen with its body split in half with muscle tissue holding the two parts together. These depictions of violence are appropriate under Age Advisory rating where the guidelines permit “moderate level of violence” that is “realistic but not excessively graphic violence with depiction of blood”.

The game also contains some depictions of nudity that are portrayed without strong details. One of the enemies in the game is a Harpy that takes the appearance of a topless woman and a lower body of a bird. Another two enemies in the game are depicted with phallic-shaped bodies. According to the Age Advisory guidelines “nudity without details” and “still or moving images which may be mildly suggestive may be featured”."
2018,STATE OF DECAY 2,STATE OF DECAY 2,na,MICROSOFT STUDIOS,2018,ASIA,"PC,Xbox One,Xbox One X",Mature 18,STRONG VIOLENCE AND GORE,"‘State Of Decay 2’ is a multiplayer, survival-horror game set in fictional American towns in the aftermath of a zombie apocalypse. Playing as a solo survivor or with 3 other team mates, the player must build up a community, manage resources and improve skills in order to prevail against zombies and hostile human survivors.

The game is rated M18 for strong violence and gore.

Gameplay occurs in an open world environment from a third-person perspective. In managing the home base of the community, the player will have to decide the best use of limited resources and prioritise what facilities to build in order to address community needs such as food, medicine, ammo, fuel, etc. Individual characters encountered in the environment can be recruited to the player’s community, while existing members can also be exiled from it. The player will discover survivor enclaves that may be hostile; Friendly enclaves can also become hostile to the player if their requests are not met or when they face antagonism from the player. Any member within a player’s community can be controlled to fight zombies and human aggressors with melee weapons, firearms, explosives and vehicles. Players are rewarded for killing zombies by gaining skills, influence, and standing within their community.

Violence in the game is highlighted by realistic blood and sound effects. Characters who are attacked emit screams of pain and splatter blood, which stains surrounding surfaces. Zombies are frequently decapitated and dismembered, and can also explode into pieces, leaving behind visible body parts. The player character can be torn in half by zombies, exposing viscera. When a member of the community is infected by a plague, the player can choose to euthanise the character with a gunshot to the head. The M18 guidelines state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.”

There are frequent uses of coarse language, such as ‘asshole’, ‘shit’, ‘damn’, and expletives such as ‘f**k’ and its variations. The player can produce and procure medicinal herbs and drugs for use as medicine."
2018,CONSTRUCTOR PLUS,CONSTRUCTOR PLUS,na,SYSTEM 3,2018,EURO,Nintendo Switch,General,na,na
2018,VOEZ,VOEZ,na,SQUARE ENIX,2018,ASIA,Nintendo Switch,General,na,na
2018,????????,NOBUNAGA NO YABOU: TAISHI,NOBUNAGA'S AMBITION: TAISHI,KOEI TECMO,2018,"ASIA,JP","PC,Sony Playstation 4",General,na,na
2018,THE ALLIANCE ALIVE,THE ALLIANCE ALIVE,ALLIANCE ALIVE,ATLUS,2018,"ASIA,US",Nintendo 3DS,General,na,na
2018,DISSIDIA: FINAL FANTASY NT,DISSIDIA: FINAL FANTASY NT,na,"SQUARE ENIX CO., LTD.",2018,ASIA,Sony Playstation 4,Age Advisory,na,"‘Dissidia Final Fantasy NT’ is an action fighting game set in a fantasy world where heroes and villains have been summoned from their own dimensions by the gods Materia and Spiritus to fight against each other.

The game is rated Age Advisory (Suitable for 16 & Above).

The player will select from a roster of characters to form a team of three warriors to battle enemies across various locations, via online or offline modes. The type of attacks and spells that the player has at disposal depends on the characters’ combat class. Depending on the match type, battles are won when all characters on a team are eliminated, or when a team fails to defend its crystal core and allows the opposing team to destroy it. Completing battles allows the player to gradually level up and unlock abilities, items and story cutscenes.

During combat, the player will control team members to attack enemies with melee strikes and magical spells. When a special meter is filled, the player can also summon a mystical entity to aid the team in battle temporarily with powerful attacks and status buffs. The level of violence is mild, with attacks and damage represented by sound effects, flashes of lights and numbers denoting lost health.

Several female characters are dressed in suggestive and revealing outfits that expose large parts of their cleavage, groin and buttocks. The Age Advisory guidelines permit “nudity without details” and “still or moving images which may be mildly suggestive, e.g. scantily-clad women in bikinis or lingerie.”"
2018,STERN PINBALL ARCADE,STERN PINBALL ARCADE,na,SYSTEM 3,2018,EURO,Nintendo Switch,General,na,na
2018,???? ???? I: ? -THORS MILITARY ACADEMY 1204-,THE LEGEND OF HEROES SEN NO KISEKI I: KAI -THORS MILITARY ACADEMY 1204-,na,NIHON FALCOM CORPORATION,2018,ASIA,Sony Playstation 4,General,na,na
2018,THE LEGEND OF HEROES: TRAILS OF COLD STEEL II,THE LEGEND OF HEROES: TRAILS OF COLD STEEL II,"???? ???? II: ? -THE EREBONIAN CIVIL WAR- , THE LEGEND OF HEROES SEN NO KISEKI II: KAI -THE EREBONIAN CIVIL WAR-",NIHON FALCOM CORPORATION,2018,ASIA,Sony Playstation 4,General,na,na
2018,THE INPATIENT,THE INPATIENT,na,SONY INTERACTIVE ENTERTAINMENT,2018,ASIA,Sony Playstation 4,Mature 18,VIOLENCE AND COARSE LANGUAGE,"Set in Blackwood Pines Sanatorium, ‘The Inpatient’ is a virtual reality game where the player takes on the role of a patient who is suffering from amnesia. When the staff of the sanatorium are attacked by unknown creatures, the player has to survive the night – piecing together missing memories – before escaping from the place.

The game is rated M18 for violence and coarse language.

The player character explores the interior of a sanatorium from a first-person perspective to uncover its history and the stories of characters who work at the place. Along the way, the player character meets other survivors. Together, the group has to survive the night and escape from the abandoned building. Based on the player’s dialogue choices, the story branches out into different endings that determine the outcome of the survivors.

The game contains some depictions of violence that are portrayed with bloodshed. For example, a character is attacked by a creature which is seen to claw at the victim’s body, causing blood to stain the snow. The victim’s body is then picked up by the creature and flung towards a forest. The game also contains depictions of human remains that are seen with blood stains on their clothing. Some of these corpses also appear to be dismembered and disembowelled. According to the M18 guidelines “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent” are permitted.

The game also contains some use of the expletive “f**k”. The expletive is uttered by some of the characters when their lives are put in danger or when they are startled."
2018,SUPER PUTTY SQUAD,SUPER PUTTY SQUAD,na,SYSTEM 3,2018,EURO,Nintendo Switch,General,na,na
2018,ASHES CRICKET,ASHES CRICKET,na,BIG ANT STUDIOS,2017,ASIA,"Sony Playstation 4,Xbox One",General,na,na
2018,A WAY OUT,A WAY OUT,na,ELECTRONIC ARTS,2018,ASIA,"Sony Playstation 4,Xbox One",Mature 18,VIOLENCE AND COARSE LANGUAGE,"‘A Way Out’ is a cooperative action adventure game that follows two protagonists who get acquainted in prison. Leo is a current inmate being targeted by his ex-criminal boss, who wants to silence him, while Vincent has just arrived to start serving his imprisonment sentence. The two men help each other out on a few occasions, and eventually decide to team up to escape from prison together.

The game is rated M18 for violence and coarse language.

From a third-person perspective, two players will control Leo and Vincent via local split-screen or online cooperative mode to play through the story. Often, each character will be tasked to carry out different tasks to get pass situations, such as one trying to distract a guard so the other can sneak around and obtain quest items undetected. Some obstacles also require both characters to overcome, such as helping each other climb walls, or opening a heavy door.

During fist fight sequences, the players must react quickly to on-screen button prompts to overcome enemies with punches and kicks, and to dodge incoming blows and attacks. Some attackers may be armed with knives, and failure to fight them off results in the player character being killed with repeated stabs to the chest. Leo and Vincent can also use a variety of firearms to shoot at enemies, which results in large but brief blood sprays. A cutscene depicts a man spurting blood from a neck wound after being shot. An interrogation scene requires the players to use various tools to torture a criminal’s associate and force information out of him. This includes shooting him in the leg with a pistol and a nail-gun, and burning his groin with a flame-torch. The M18 guidelines allow “Depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent”.

The dialogue contains frequent use of coarse language, including expletives such as ‘cocks**ker’, ‘motherf***er’ and variations of ‘f**k’. The guidelines for M18 permit “frequent use of strong coarse language.”

In the prison, naked male characters can be seen showering in the bathing room, and also during the opening sequence where new inmates are hosed down during in-processing. Genitals may be fleetingly seen during these sequences. These scenes are permissible under M18 guidelines, which allow for “Depiction of topless nudity or occasional full frontal nudity, if not exploitative”.

Players may see a couple having sex inside a parked trailer. The man is clothed and his lower body is not visible, while the woman is obscured by furniture and only her legs can be seen. M18 guidelines permit “Portrayal of sexual activity with some nudity, both topless and frontal, if not detailed.”"
2018,FIREWALL ZERO HOUR,FIREWALL ZERO HOUR,na,SONY INTERACTIVE ENTERTAINMENT INC.,2018,ASIA,Sony Playstation 4,General,na,na
2018,BLADE STRANGERS,BLADE STRANGERS,na,NICALIS,2018,EURO,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,VEGAS PARTY,VEGAS PARTY,na,FUNBOX MEDIA,2018,EURO,Nintendo Switch,General,na,na
2018,DIABLO III: ETERNAL COLLECTION,DIABLO III: ETERNAL COLLECTION,DIABLO 3: ETERNAL COLLECTION,BLIZZARD ENTERTAINMENT,2018,EURO,"Nintendo Switch,Sony Playstation 4,Xbox One,Xbox One X",Age Advisory,na,"This compilation consists of ‘Diablo III’, ‘Diablo III: Reaper of Souls’ and ‘Diablo III: Rise of the Necromancer’. For more information on the game content, please refer to the individual games’ records in the classification database."
2018,OSTWIND - DAS SPIEL,WINDSTORM THE GAME,OSTWIND: DAS SPIEL,EUROVIDEO,2018,EURO,Nintendo Switch,General,na,na
2018,WARIOWARE GOLD,WARIOWARE GOLD,na,NINTENDO,2018,ASIA,Nintendo 3DS,General,na,na
2018,NIGHTMARE BOY,NIGHTMARE BOY,na,BADLANDAGAMES,2018,EURO,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,FORZA HORIZON 4,FORZA HORIZON 4,na,MICROSOFT STUDIOS,2018,ASIA,"PC,Xbox One,Xbox One X",General,na,na
2018,???? ???? THE 3RD EVOLUTION,EIYUU DENSETSU SORA NO KISEKI THE 3RD EVOLUTION ; THE LEGEND OF HEROES SORA NO KISEKI THE 3RD EVOLUTION,na,NIHON FALCOM CORPORATION,2018,ASIA,Sony PS Vita,General,na,na
2018,MEGA MAN X LEGACY COLLECTION 1+2,MEGA MAN X LEGACY COLLECTION 1+2,MEGA MAN X LEGACY COLLECTION + MEGA MAN X LEGACY COLLECTION 2,CAPCOM,2021,"ASIA,US","Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,MONSTER HUNTER GENERATIONS ULTIMATE,MONSTER HUNTER GENERATIONS ULTIMATE,na,CAPCOM,2018,US,Nintendo Switch,General,na,na
2018,NARUTO TO BORUTO: SHINOBI STRIKER,NARUTO TO BORUTO: SHINOBI STRIKER,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2018,ASIA,"PC,Sony Playstation 4,Xbox One",General,na,na
2018,?????,CLOSED NIGHTMARE,na,SEGA GAMES,2018,ASIA,"Nintendo Switch,Sony Playstation 4",Mature 18,VIOLENCE AND GORE,"'?????' (romanised ‘Closed Nightmare’) is a horror adventure game, and follows the female protagonist Maria Kamishiro who appears to have been abducted for a mysterious experiment involving the supernatural. Maria awakens in an unknown location without any memory, and soon realises that she has to explore and investigate her surroundings for clues to solve puzzles and escape a perilous fate.

The game is classified M18 for violence and gore.

From a first-person perspective, the player undertakes the role of Maria to explore rooms and dark corridors. Typically, the game is comprised of still images representing various locations, where the player will control a cursor to click and investigate points of interest such as reading notes, examining objects and picking up items. Once sufficient clues are collected and studied to solve puzzles, subsequent areas will be unlocked. Navigating between locations requires the player to select a direction to turn to, or exit a room to the corridor. The player will occasionally be prompted to make action or narrative choices, and a wrong decision may result in Maria getting killed. Live-action scenes featuring real human actors, are interspersed throughout as the player progresses through the story.

The game has a strong supernatural theme and contains some realistic, intense and frightening scenes, particularly during the live-action sequences where the protagonist is chased in dark corridors and attacked from a first-person perspective. There are occasional depictions of violence accompanied by blood splatter effects. Blood stains can be seen on characters, and on some objects and surfaces. Some of the stronger scenes include an interactive sequence of a corpse’s finger being bent with a pair of pliers; characters being repeatedly stabbed in first-person view; and a man being decapitated by an attacker. These instances of violence can be permitted under the M18 guidelines, which state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.”."
2018,BRIDGE CONSTRUCTOR PORTAL,BRIDGE CONSTRUCTOR PORTAL,na,NIGHTHAWK INTERACTIVE,2018,US,"Nintendo Switch,Sony Playstation 4,Xbox One",General,na,na
2018,NBA 2K PLAYGROUNDS 2,NBA 2K PLAYGROUNDS 2,na,TAKE TWO ASIA PTE LTD/2K/SABER INTERACTIVE,2018,ASIA,"Nintendo Switch,PC,Sony Playstation 4,Xbox One",General,na,na
2018,STRANGE BRIGADE,STRANGE BRIGADE,na,REBELLION DEVELOPMENTS,2018,EURO,"Sony Playstation 4,Xbox One",Age Advisory,na,"‘Strange Brigade’ is a third-person shooter action game set in 1930s Egypt. An archaeologist has been searching for the tomb of the brutal witch-queen Seteki, who was sealed away during an uprising centuries ago. When her spirit is inadvertently released into the world, Seteki calls forth an army of undead creatures to wreak vengeance. It is up to the Strange Brigade, who are a group of secret service operatives, to eliminate her.

The game is classified Age Advisory (Suitable for 16 and Above).

From a third-person perspective, the player will control one of four adventurers to explore various locations. In order to progress, the protagonists must solve puzzles and make use of a variety of firearms, explosives and magical powers to eliminate hordes of mythological enemies such as giant scorpions, mummies, minotaur and animated skeletons in frenetic combat. Traps such as spinning blade contraptions, floor spikes and fire spouts can be activated to damage enemies that are in range, while the player can also attack those in proximity with melee strikes.

There is frequent depiction of violence, where the player must eliminate enemies in order to proceed through each area. Enemies emit splatters of blue aura when shot, and some are occasionally dismembered or break apart when attacked, but corpses and body parts disappear from the scene. The overall level of violence is moderate and can be permitted under the Age Advisory guidelines, which state that “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay”."
2018,GAL METAL!,GAL METAL!,na,DMM GAMES,2018,JP,Nintendo Switch,General,na,na
2018,METAL GEAR SURVIVE,METAL GEAR SURVIVE,na,KONAMI,2018,ASIA,Sony Playstation 4,Mature 18,VIOLENCE,"‘Metal Gear Survive’ is an action game set in an alternate dimension called Dite, a world that has been left desolate after an unknown catastrophe. The protagonist is a soldier sent to Dite to rescue survivors and retrieve any useful data. After uniting the survivors, they discover that their actions are crucial in ensuring not just their own survival, but Earth itself. 

The game is classified M18 for violence.

Played from a third person perspective, the player explores the world to gather resources for survival and find materials to craft gadgets and weapons. As the game progresses, the thirst and hunger meter will drop, and the player has to find food and water to meet his needs. In some environments, the player also has to manage his oxygen levels to prevent death. Other than ensuring his own survival, the player has to complete mission objectives such as recovering lost data, activating the teleportation network and rescuing other survivors. Hindering the player are zombie-like, headless humanoid creatures. These enemies can prove lethal and overwhelming in numbers. The player can choose to sneak past or engage them in combat with the weapons he has crafted, such as spears, machetes and guns. 

During combat, blood splatters and sometimes stains the surroundings as the player fights the zombies. Dismemberment occurs frequently when the player strikes at the zombies’ limbs, accompanied by blood spurts. The M18 guidelines state that “realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.”"
2018,DETECTIVE PIKACHU,DETECTIVE PIKACHU,na,NINTENDO,2018,ASIA,Nintendo 3DS,General,na,na
2018,KIRBY STAR ALLIES,KIRBY STAR ALLIES,na,NINTENDO,2018,ASIA,Nintendo Switch,General,na,na
2018,ATELIER LYDIE & SUELLE: THE ALCHEMISTS AND THE MYSTERIOUS PAINTINGS,ATELIER LYDIE & SUELLE: THE ALCHEMISTS AND THE MYSTERIOUS PAINTINGS,na,KOEI TECMO AMERICA CORP,2018,US,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,ARMELLO: SPECIAL EDITION,ARMELLO SPECIAL EDITION,na,SOEDESCO PUBLISHING B.V,2018,EURO,Sony Playstation 4,General,na,na
2018,PENGUIN WARS,PENGUIN WARS,na,DISPATCH GAMES,2018,US,Nintendo Switch,General,na,na
2018,HAKUOKI: EDO BLOSSOMS ???,HAKUOKI EDO BLOSSOMS,na,IDEA FACTORY,2018,"ASIA,US",Sony PS Vita,Age Advisory,na,"‘Hakuoki: Edo Blossoms’ is a visual novel game set in medieval Japan, revolving around the adventures of Chizuru Yukimura. She had arrived in Kyoto four years ago to search for her missing father and ended up joining the Shinsengumi samurais. After a climactic battle against the Imperial army that ended in defeat, the Shinsengumi have to retreat to Edo now, where the group’s survival will come under threat.
 
The game is classified Age Advisory (Suitable for 16 and Above).

As protagonist Chizuru, the player will select to romance one of twelve Shinsengumi samurai. Gameplay entails looking at scenes comprising still images and text that represent story development and characters engaging in conversation. The player occasionally has to make dialogue choices that ultimately affect the ending of the game.

The overall depiction of violence is mild. Swordfights and other scenes of violence are described by textual references and still images, accompanied by sound effects. Some of these images depict blood stains on characters and their clothing.

There are some sexual references in the game, such as textual descriptions of intimacy between characters, and still images showing characters hugging and kissing.

Coarse language, including the expletive “f**k” and its variations, appears in the dialogue text, and can be allowed under the Age Advisory Guidelines."
2018,SUMMER LESSON: ALLISON & CHISATO,SUMMER LESSON: ALLISON & CHISATO,na,BANDAI NAMCO ENTERTAINMENT ASIA PTE LTD,2018,ASIA,Sony Playstation 4,General,na,na
2018,FALLEN LEGION: RISE TO GLORY,FALLEN LEGION RISE TO GLORY,na,NIS AMERICA,2018,US,Nintendo Switch,General,na,na
2018,AGONY,AGONY,na,MADMIND STUDIO,2018,ASIA,"Sony Playstation 4,Xbox One",Mature 18,"STRONG VIOLENCE, SEXUAL SCENES AND NUDITY","‘Agony’ is a survival-horror game where the player takes on the role of a wandering soul attempting to escape from hell by seeking an audience with the enigmatic Red Goddess.

The game is rated M18 for strong violence, sexual scenes and nudity.

Played from a first-person perspective, the player character explores locations in hell to collect items (e.g. hearts and severed body parts), solve puzzles and remove barriers to progress to the next area. During game play, the player will encounter depictions of strong violence that also portray bloodshed. The stronger depictions include a demon stabbing its hand into a human or demon’s body to extract a beating heart; a scene where a character crushes infant-like creatures with boulders; and the decapitation and dismemberment of human victims. Some of the game’s locations are littered with severed human body parts, human corpses impaled on stakes, and gory details such as blood pools and blood stains. According to the M18 guidelines, “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent”, are permitted.

The game also contains some depictions of sexual activities. For example, in one cutscene, the player character comes across a room where several topless female demons are seen frolicking, including an obscured depiction of oral sex where a demon’s head is positioned near another demon’s crotch to imply the sexual act. Other scenes depict female demons having sex with the player character from a first-person perspective, with only the demons’ naked upper body visible. As these depictions of sexual scenes are non-interactive and no genitalia is shown, they can be contained under an M18 rating where the guidelines permit the “portrayal of sexual activity with some nudity, both topless and frontal, if not detailed”.

In addition, while exploring, the player may encounter depictions of female upper body nudity, as well as full frontal nudity where the male genitalia are visible. These depictions can be allowed under the M18 guidelines which permit “depiction of topless nudity or occasional full frontal nudity, if not exploitative”.

The game also contains some expletives, such as “c**t” and “f**k”, as well as swear words like “damn” and “bitch”."
2018,MLB THE SHOW 18,MLB THE SHOW 18,na,SONY INTERACTIVE ENTERTAINMENT,2018,ASIA,Sony Playstation 4,General,na,na
2018,MX VS ATV ALL OUT,MX VS ATV ALL OUT,na,THQ NORDIC,2018,EURO,"PC,Sony Playstation 4,Xbox One",General,na,na
2018,7'SCARLET,7'SCARLET,na,AKSYS GAMES,2018,US,Sony PS Vita,General,na,na
2018,MEGA MAN 11,MEGA MAN 11,MEGAMAN 11,CAPCOM,2018,US,"Nintendo Switch,Sony Playstation 4",General,na,na
